ID,Nom,Frais,Frais EXTRA: Moyen - MED,Frais EXTRA: Lourd - HVY,Frais EXTRA: Volumineux - BLK,Frais EXTRA: Surdimensionné - OVS,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Informations
1,Marrakech,19.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
2,Meknes,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
3,Mhaya,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
4,Ain Taoujdate,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
5,Sabaa Aiyoun,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
6,Boufakrane,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
7,El Hajeb,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
8,Bouderbala,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
10,Boujdour,45.00,+15,+35,+55,+75,Non,Oui,Oui,Oui,Oui,Oui,Non,
11,Tetouan,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
12,Martil,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
13,M Diq,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
14,Fnideq,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
15,Errachidia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
16,Oujda,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
17,Nador,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
18,Selouane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
20,Al Aaroui,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
21,Zaio,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
22,Driouch,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
23,Khouribga,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
24,Oued Zem,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
25,Boulanouar,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
26,Boujniba,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
27,Bir Mezoui,45.00,+15,+35,+55,+75,Non,Non,Oui,Non,Non,Oui,Non,
